text,label
"Loci vsak dogodek posebej.",1
"Niso povezani med sabo.",1
"Vsaka nosecnost je dogodek za sebe, prejsnja ne vpliva na naslednjo.",1
"Vsak otrok, ki ga rodis je za sebe zgodba.",1
"saj vem, saj vem, draga lulu ampak preprosto ne morem, da ne bi. v tej smeri je se toliko pesimizma v meni, da enostavno moji krempeljcki niso dovolj dogli, da bi se iz tega strahu izkopala.",1
"zelim pa si, da nama bo dano imeti otroka.",1
"cas se vedno tece....sonce vzhaja..",1
"zahaja...",1
"pticki pojejo...",1
"jesenski listki se vrtijo v vetru ...",1
"pa vendar je tako...",1
"Tippi...",1
"Sem pa ravno vceraj bolj konkretno razmisljala o novi nosecnosti user posted image Ne vem.... prevec strahu je se v meni. Ne govorim o mesecih, ki so itak priporoceni, naj se nam ne mudi, ampak tako nasploh.",1
"Ja, taksne tragedije se ti zasidrajo globoko v srce.",1
"Ne samo zaradi tragedije same, ampak tudi strah za prihodnost.",1
"za novo nosecnost.",1
"bomo videli...",1
"Pocasi. Vzami si cas, da odzalujes.",1
"Tu gor je bila mamica, ki je imela downovcico, ki se je 2 leti borila za zivljenje, pa ji ni bilo dano in ker sta si z mozem zelela se enega otroka (enega sta ze imela), sta zeljo seveda poizkusala uresnicit.",1
"Vendar je imela potem mislim da dva ss-a.",1
"Lahko ni nic povezano, lahko pa psiha vseeno odigra svojo vlogo - tako je menila njena g., ki ji je odsvetovala novo nosecnost, dokler res ne odzaluje.",1
"To ej delno res, delno pa vpliva psiha in dejavniki tveganja, ki so pri vseh isti oz.",1
"se lahko povecujejo.",1
"Ce sama ne bi imela tako zagamanih nosecnosti, bi se odlocila se za enega otroka, tako pa ceprav nobena nosecnost ni enaka drugi, imajo pa vse moje eno skupno lastnost in si ne upam vec izzivat srece.",1
"Moras bit pripravljen sprejet tudi doloceno tveganje in to vcasih pretehta.",1
"NIc ni narobe, ce si tippi otrok ne bo vec zelela, ce pa si jih bo, sem pa prepricana, da jih bo imela, saj je pogumna punca.",1
"O ja.",1
"Zdaj niti nimam zelje iti cez vse nosecniske tezave, niti se psihicno ne morem skoncentrirati na drugega otroka, ker sem prevec okupirana z mislijo na M. Zato pa pravim, da ko bo cas, ce bo, bo.",1
"Sem se pa vceraj ujela v misli zakaj, kako, ce in se sto drugih vprasanj povezanih z novo nosecnostjo.",1
"Ej metulj, res.",1
"Ce smo tisti trenutek, ko se otrok rodi, v devetih nebesih, ko je zdrav, clovek ob vseh obveznostih, hitenju, delu itd.",1
"hitro pozabi, ali pa se samo se sem pa tja spomni, da je zdravje dar.",1
"cist premalkrat se zavemo, kaj pomeni imeti zdravega otroka.",1
"u bistvu je vsaka taka zgodba, kot je moja, ali pa se hujsa, brca v rit, da znamo ceniti zdravje.",1
"pa naj gre za otroke, ali pa nas same.",1
"jaz sem neskoncno hvalezna za zdravo pubertetnico.",1
"tezko to sploh ubesedim.",1
"Tippi pogresam te in mislim nate.",1
